year,age_category,gender,n
2018,<1,F,12
2018,1,F,28
2018,2,F,16
2018,3,F,23
2018,4,F,22
2018,5,F,37
2018,6,F,43
2018,7,F,39
2018,8,F,40
2018,9,F,40
2018,10,F,43
2018,11,F,49
2018,12,F,48
2018,13,F,53
2018,14,F,54
2018,15,F,68
2018,16,F,96
2018,17,F,95
2018,18,F,46
2018,19,F,20
2018,20,F,10
2018,21+,F,0
2018,unknown,F,0
2018,total,F,882
2018,<1,M,15
2018,1,M,26
2018,2,M,25
2018,3,M,33
2018,4,M,31
2018,5,M,29
2018,6,M,39
2018,7,M,50
2018,8,M,47
2018,9,M,46
2018,10,M,50
2018,11,M,55
2018,12,M,48
2018,13,M,75
2018,14,M,90
2018,15,M,139
2018,16,M,228
2018,17,M,189
2018,18,M,64
2018,19,M,20
2018,20,M,11
2018,21+,M,1
2018,unknown,M,0
2018,total,M,1311
2019,<1,F,15
2019,1,F,19
2019,2,F,31
2019,3,F,25
2019,4,F,33
2019,5,F,30
2019,6,F,49
2019,7,F,53
2019,8,F,44
2019,9,F,45
2019,10,F,39
2019,11,F,45
2019,12,F,59
2019,13,F,61
2019,14,F,63
2019,15,F,73
2019,16,F,87
2019,17,F,121
2019,18,F,60
2019,19,F,31
2019,20,F,9
2019,21+,F,2
2019,unknown,F,0
2019,total,F,994
2019,<1,M,17
2019,1,M,27
2019,2,M,31
2019,3,M,37
2019,4,M,35
2019,5,M,46
2019,6,M,38
2019,7,M,50
2019,8,M,50
2019,9,M,45
2019,10,M,65
2019,11,M,56
2019,12,M,70
2019,13,M,65
2019,14,M,94
2019,15,M,142
2019,16,M,243
2019,17,M,327
2019,18,M,80
2019,19,M,33
2019,20,M,10
2019,21+,M,1
2019,unknown,M,0
2019,total,M,1562
2020,<1,F,14
2020,1,F,18
2020,2,F,22
2020,3,F,34
2020,4,F,27
2020,5,F,39
2020,6,F,35
2020,7,F,52
2020,8,F,54
2020,9,F,51
2020,10,F,48
2020,11,F,45
2020,12,F,47
2020,13,F,62
2020,14,F,68
2020,15,F,67
2020,16,F,67
2020,17,F,86
2020,18,F,74
2020,19,F,41
2020,20,F,20
2020,21+,F,3
2020,unknown,F,0
2020,total,F,974
2020,<1,M,13
2020,1,M,15
2020,2,M,27
2020,3,M,31
2020,4,M,50
2020,5,M,42
2020,6,M,47
2020,7,M,47
2020,8,M,48
2020,9,M,54
2020,10,M,51
2020,11,M,71
2020,12,M,67
2020,13,M,74
2020,14,M,76
2020,15,M,105
2020,16,M,175
2020,17,M,266
2020,18,M,148
2020,19,M,30
2020,20,M,19
2020,21+,M,0
2020,unknown,M,0
2020,total,M,1456
2021,<1,F,8
2021,1,F,13
2021,2,F,15
2021,3,F,19
2021,4,F,24
2021,5,F,19
2021,6,F,39
2021,7,F,26
2021,8,F,48
2021,9,F,48
2021,10,F,50
2021,11,F,43
2021,12,F,38
2021,13,F,48
2021,14,F,70
2021,15,F,69
2021,16,F,94
2021,17,F,76
2021,18,F,63
2021,19,F,41
2021,20,F,26
2021,21+,F,2
2021,unknown,F,0
2021,total,F,879
2021,<1,M,10
2021,1,M,14
2021,2,M,13
2021,3,M,31
2021,4,M,29
2021,5,M,32
2021,6,M,41
2021,7,M,46
2021,8,M,36
2021,9,M,49
2021,10,M,53
2021,11,M,46
2021,12,M,65
2021,13,M,55
2021,14,M,75
2021,15,M,110
2021,16,M,281
2021,17,M,316
2021,18,M,147
2021,19,M,47
2021,20,M,16
2021,21+,M,1
2021,unknown,M,0
2021,total,M,1513
2022,<1,F,10
2022,1,F,21
2022,2,F,30
2022,3,F,28
2022,4,F,34
2022,5,F,43
2022,6,F,35
2022,7,F,51
2022,8,F,45
2022,9,F,61
2022,10,F,65
2022,11,F,51
2022,12,F,60
2022,13,F,44
2022,14,F,74
2022,15,F,90
2022,16,F,99
2022,17,F,107
2022,18,F,57
2022,19,F,50
2022,20,F,25
2022,21+,F,3
2022,unknown,F,0
2022,total,F,1083
2022,<1,M,9
2022,1,M,21
2022,2,M,23
2022,3,M,19
2022,4,M,40
2022,5,M,50
2022,6,M,52
2022,7,M,55
2022,8,M,59
2022,9,M,59
2022,10,M,48
2022,11,M,53
2022,12,M,74
2022,13,M,72
2022,14,M,93
2022,15,M,109
2022,16,M,206
2022,17,M,240
2022,18,M,140
2022,19,M,49
2022,20,M,23
2022,21+,M,0
2022,unknown,M,0
2022,total,M,1494
