year,age_category,gender,n
2019,<1,F,15
2019,1,F,19
2019,2,F,31
2019,3,F,25
2019,4,F,33
2019,5,F,30
2019,6,F,49
2019,7,F,53
2019,8,F,44
2019,9,F,45
2019,10,F,39
2019,11,F,45
2019,12,F,59
2019,13,F,61
2019,14,F,63
2019,15,F,73
2019,16,F,87
2019,17,F,121
2019,18,F,60
2019,19,F,31
2019,20,F,9
2019,21+,F,2
2019,unknown,F,0
2019,total,F,994
2019,<1,M,17
2019,1,M,27
2019,2,M,31
2019,3,M,37
2019,4,M,35
2019,5,M,46
2019,6,M,38
2019,7,M,50
2019,8,M,50
2019,9,M,45
2019,10,M,65
2019,11,M,56
2019,12,M,70
2019,13,M,65
2019,14,M,94
2019,15,M,142
2019,16,M,243
2019,17,M,327
2019,18,M,80
2019,19,M,33
2019,20,M,10
2019,21+,M,1
2019,unknown,M,0
2019,total,M,1562
